local_noon_str,local_noon_lst,ra_sun,dec_sun,lon_E,lat_E,ra_E,dec_E,ha_E,lon_W,lat_W,ra_W,dec_W,ha_W,lon_S,lat_S,ra_S,dec_S,ha_S,lon_S_Long,lat_S_Long,ra_S_Long,dec_S_Long,ha_S_Long,lon_S_Long2,lat_S_Long2,ra_S_Long2,dec_S_Long2,ha_S_Long2,lon_S_Long_Long,lat_S_Long_Long,ra_S_Long_Long,dec_S_Long_Long,ha_S_Long_Long,lon_SE,lat_SE,ra_SE,dec_SE,ha_SE,lon_SW,lat_SW,ra_SW,dec_SW,ha_SW,lon_SSE,lat_SSE,ra_SSE,dec_SSE,ha_SSE,lon_SSW,lat_SSW,ra_SSW,dec_SSW,ha_SSW
2024-07-05T04:17:58,104.824,104.45389412647619,22.77123354235344,133.3076016080669,-0.0028953378223257127,135.77675086988253,16.821452865792637,31.322856743406348,73.30760160806692,-0.0028953378223257127,71.90508083614459,22.394169772052607,-32.548813290331594,103.30760160806692,-30.002895337822324,101.59143651441202,-7.097684640204269,-2.862457612064162,103.3076016080669,-50.00289533782233,99.56108153741715,-27.00449050797806,-4.892812589059034,103.3076016080669,-50.00289533782233,99.56108153741715,-27.00449050797806,,103.3076016080669,-70.00289533782232,96.61336033344396,-46.86903557317171,,129.8726527851449,-14.480407523752245,128.47192801889446,3.7930236077484123,24.018033892418273,76.74255043098893,-14.480407523752245,77.03446406284282,8.364336981106641,-27.41943006363337,119.40971536005293,-25.661801611077607,116.3771426514088,-4.875891872722337,11.923248524932617,87.20548785608091,-25.661801611077607,87.48285612242182,-2.2469004817665765,-16.971038004054364
2024-07-06T04:18:09,105.852,105.48255384101162,22.67325398284591,134.26146295243197,-0.0028757327820263367,136.7305439617001,16.54737469693479,31.247990120688485,74.26146295243198,-0.0028757327820263367,72.92969304787819,22.508805175526074,-32.55286079313343,104.26146295243198,-30.002875732782023,102.42012228230344,-7.176588877657743,-3.062431558708184,104.26146295243197,-50.00287573278203,100.24548829540976,-27.06972627162717,,104.26146295243197,-50.00287573278203,100.24548829540976,-27.06972627162717,-5.237065545601865,104.26146295243197,-70.00287573278203,97.08607000880131,-46.914268466780065,,130.82651412950997,-14.480387918711946,129.36604169571527,3.5546821105211155,23.883487854703645,77.696411775354,-14.480387918711946,77.96435189995302,8.446482144616349,-27.518201941058607,120.363576704418,-25.661782006037306,117.22290081110167,-5.046945522282127,11.740346970090044,88.15934920044597,-25.661782006037306,88.3431785061431,-2.233063699619503,-17.139375334868518
2024-07-07T04:18:18,106.878,106.50967859911033,22.56870917385337,135.2153075958553,-0.0028632419222742764,137.68158945986318,16.2689715373567,31.171910860752845,75.21530759585531,-0.0028632419222742764,73.95594038630517,22.61694030431435,-32.55373821280516,105.21530759585531,-30.002863241922274,103.24840556261383,-7.2608566406395125,-3.2612730364965046,105.2153075958553,-50.00286324192228,100.92973978162618,-27.139427354013243,,105.2153075958553,-50.00286324192228,100.92973978162618,-27.139427354013243,,105.2153075958553,-70.00286324192227,97.55852394031527,-46.96261319577186,-8.951154658795062,131.78035877293328,-14.480375427852193,130.25866828021435,3.311764273116774,23.74898968110402,78.65025641877732,-14.480375427852193,78.89493863570624,8.522594193897119,-27.61473996340409,121.31742134784132,-25.661769515177557,118.06783914923398,-5.2229809861049015,11.558160550123645,89.1131938438693,-25.661769515177557,89.20355242251915,-2.2249290994582056,-17.306126176591178
2024-07-08T04:18:28,107.903,107.53520935013314,22.45764036845605,136.16916182370156,-0.0028573228282167333,138.6299284377533,15.986325262365398,31.094719087620163,76.16916182370157,-0.0028573228282167333,74.98376503929828,22.71853383301414,-32.55144431083487,106.16916182370157,-30.002857322828216,104.0762871798717,-7.350469454315304,-3.458922170261445,106.16916182370156,-50.00285732282822,101.6138471453264,-27.21358417606232,-5.921362204806741,106.16916182370156,-50.00285732282822,101.6138471453264,-27.21358417606232,,106.16916182370156,-70.00285732282822,98.03071862337511,-47.014065535558096,,132.73421300077956,-14.480369508758136,131.1498382165959,3.064330426350656,23.614628866462752,79.60411064662358,-14.480369508758136,79.82619876169338,8.592651278085805,-27.709010588439767,122.27127557568758,-25.6617635960835,118.91197349453178,-5.403959482873261,11.376764144398635,90.06704807171556,-25.6617635960835,90.06396703879211,-2.222498010753978,-17.47124231134103
2024-07-09T04:18:37,108.927,108.5590322643671,22.340097664038908,137.12299852200042,-0.0028571062159037726,139.57555178656938,15.699534194738009,31.016519522202273,77.12299852200043,-0.0028571062159037726,76.01304912354503,22.813541408395082,-32.545983140822074,107.12299852200043,-30.002857106215902,104.90372240951201,-7.445402416211199,-3.6553098548550906,107.12299852200042,-50.002857106215906,102.29778367257204,-27.29218212412054,,107.12299852200042,-50.002857106215906,102.29778367257204,-27.29218212412054,-6.261248591795066,107.12299852200042,-70.0028571062159,98.50262424681618,-47.06861782766637,,133.68804969907842,-14.480369292145824,132.03953422437726,2.8124557089998676,23.48050196001016,80.55794734492244,-14.480369292145824,80.75805359274007,8.65662968591161,-27.800978671627036,123.22511227398644,-25.661763379471186,119.75527395790301,-5.589830913719052,11.19624169353591,91.02088477001442,-25.661763379471186,90.92436331816477,-2.225770207125661,-17.63466894620234
2024-07-10T04:18:45,109.948,109.58106238534984,22.216131326333365,138.07681475581444,-0.002861472726673022,140.51847746394083,15.408690312975468,30.937415078590988,78.07681475581445,-0.002861472726673022,77.04369831218635,22.90192439559938,-32.53736407316349,108.07681475581445,-30.00286147272667,105.73068838571616,-7.545631169815166,-3.8503739996336748,108.07681475581444,-50.00286147272667,102.9815404614686,-27.375207325190537,,108.07681475581444,-50.00286147272667,102.9815404614686,-27.375207325190537,,108.07681475581444,-70.00286147272668,98.97422312183187,-47.12626300825418,-10.60683926351797,134.64186593289244,-14.480373658656593,132.9277638640805,2.556210174371335,23.346701478730665,81.51176357873646,-14.480373658656593,81.69044705683403,8.714509953749035,-27.890615328515807,124.17892850780046,-25.661767745981955,120.59773366255384,-5.780548308725799,11.016671277203997,91.97470100382844,-25.661767745981955,91.7847040674877,-2.23474334953651,-17.796358317862143
2024-07-11T04:18:53,110.968,110.60123182177426,22.08579236913397,139.0306208233544,-0.002869123683384883,141.458739287992,15.113882021878966,30.857507466217726,79.03062082335441,-0.002869123683384883,78.07563031962583,22.983648126536337,-32.52560150214843,109.03062082335441,-30.002869123683382,106.55717460307098,-7.651131423335358,-4.044057218703287,109.0306208233544,-50.00286912368339,103.6651185790866,-27.462646257633416,-6.936113242687668,109.0306208233544,-50.00286912368339,103.6651185790866,-27.462646257633416,,109.0306208233544,-70.00286912368338,99.44550423805617,-47.18699435989583,,135.5956720004324,-14.480381309613303,133.81454915601685,2.295661142331929,23.21331733424259,82.46556964627642,-14.480381309613303,82.62333515734265,8.76627548609232,-27.97789666443161,125.13273457534042,-25.661775396938665,121.43935899654159,-5.976066269412205,10.838127174767322,92.9285070713684,-25.661775396938665,92.64496412989074,-2.2494135795683547,-17.956267691883525
2024-07-12T04:19:01,111.985,111.61946611644194,21.949135235882512,139.9844181345868,-0.002878638430655056,142.39636495047293,14.815200758318008,30.776898834030987,79.98441813458682,-0.002878638430655056,79.10875116281909,23.058679765990007,-32.51071495362285,109.98441813458682,-30.002878638430655,107.383163768008,-7.7618767581574275,-4.236302348433938,109.9844181345868,-50.00287863843066,104.34851322077024,-27.554483939678406,,109.9844181345868,-50.00287863843066,104.34851322077024,-27.554483939678406,-7.270952895671698,109.9844181345868,-70.00287863843066,99.91645231840063,-47.25080427037262,,136.5494693116648,-14.480390824360574,134.69990593553277,2.030879007778764,23.080439819090827,83.41936695750883,-14.480390824360574,83.55666444606464,8.811911103820888,-28.062801670377297,126.08653188657283,-25.66178491168594,122.28015007362146,-6.176336680402379,10.660683957179515,93.88230438260081,-25.66178491168594,93.50511049272139,-2.2697754362419054,-18.114355623720556
2024-07-13T04:19:08,113.001,112.63568432218813,21.806217998517955,140.93819911895216,-0.002888519271903427,143.33137596283868,14.512741121821534,30.69569164065055,80.93819911895217,-0.002888519271903427,80.14295515740238,23.12698861763536,-32.49272916478574,110.93819911895217,-30.002888519271902,108.2086317763177,-7.877838433777721,-4.427052545870424,110.93819911895216,-50.002888519271906,105.03171367082157,-27.65070376633587,,110.93819911895216,-50.002888519271906,105.03171367082157,-27.65070376633587,,110.93819911895216,-70.0028885192719,100.38704778357388,-47.317684130637865,-12.24863653861425,137.50325029603016,-14.480400705201824,135.58384380613734,1.761937392582017,22.948159483949212,84.37314794187418,-14.480400705201824,84.49037200226475,8.851403296819862,-28.145312319923377,127.04031287093818,-25.661794792527186,123.12010069909982,-6.381308535073038,10.484416376911696,94.83608536696616,-25.661794792527186,94.36510226911355,-2.2958216368374753,-18.270582053074577
2024-07-14T04:19:15,114.014,113.64983428945703,21.6570972697197,141.8919802806109,-0.002897228089933095,144.26381996253738,14.206590302250252,30.61398567308035,81.89198028061091,-0.002897228089933095,81.1781609238766,23.18854846533911,-32.47167336558043,111.89198028061091,-30.00289722808993,109.03357635255297,-7.998989485536966,-4.616257936904063,111.8919802806109,-50.002897228089935,105.71472699733147,-27.751290908781062,-7.935107292125565,111.8919802806109,-50.002897228089935,105.71472699733147,-27.751290908781062,,111.8919802806109,-70.00289722808994,100.85728305397684,-47.38762670712257,,138.45703145768888,-14.480409414019853,136.46639673921487,1.4889037404822134,22.81656244975784,85.32692910353292,-14.480409414019853,85.42441788557345,8.884741540371929,-28.225416403883585,127.99409403259692,-25.661803501345215,123.95922748387305,-6.590935121948478,10.309393194416018,95.7898665286249,-25.661803501345215,95.22492056118296,-2.3275440487904926,-18.424913728274078
