local_noon_str,local_noon_lst,ha_S_Long2,beam_S_Long2,sun_attenuation_S_Long2,target_sensitivity_S_Long2,ha_SSE,beam_SSE,sun_attenuation_SSE,target_sensitivity_SSE,ha_SE,beam_SE,sun_attenuation_SE,target_sensitivity_SE,ha_E,beam_E,sun_attenuation_E,target_sensitivity_E,ha_S,beam_S,sun_attenuation_S,target_sensitivity_S,ha_SSW,beam_SSW,sun_attenuation_SSW,target_sensitivity_SSW,ha_SW,beam_SW,sun_attenuation_SW,target_sensitivity_SW,ha_W,beam_W,sun_attenuation_W,target_sensitivity_W,ha_S_Long,beam_S_Long,sun_attenuation_S_Long,target_sensitivity_S_Long,ha_S_Long_Long,beam_S_Long_Long,sun_attenuation_S_Long_Long,target_sensitivity_S_Long_Long
2024-07-04T04:17:48,103.794,nan,-1,nan,nan,3.4996684582532396,37,-3.141804567143097,0.8258683329625226,11.55499633011425,61,-3.13422737752231,0.7883951236443895,46.18287880002299,96,-3.0259261965549986,0.5216970292739166,-39.4843632563246,62,-3.102482639015982,0.5935204850972228,-5.4915481290107095,44,-3.340789429515533,0.8208618900038205,-19.529878860054794,56,-3.1481296395760547,0.6455173487079369,-58.46953434021279,137,-3.138946905669907,0.4463331001557142,nan,-1,nan,nan,-49.47831775294884,74,-3.161443635591956,0.5748606126610002
2024-07-05T04:17:58,104.824,nan,-1,nan,nan,3.4996684582532396,37,-3.1106369338474975,0.8286556272062546,11.55499633011425,61,-3.1278023047058534,0.7931706125751518,46.149454203044314,96,-3.0228888630886885,0.5295894393667632,-39.4843632563246,62,-3.1064838659387077,0.5948230096675889,-5.4915481290107095,44,-3.312085073474828,0.8202467352652407,-11.50797558517246,68,-3.1267144885720253,0.6401012355073967,-58.46953434021279,137,-3.1426685453873837,0.4448132922718471,-25.47945712225919,15,-3.0721935936732567,0.7540901355174829,nan,-1,nan,nan
2024-07-06T04:18:09,105.852,-25.47945712225919,15,-3.070907037681832,0.7570045552441133,4.468981770634855,37,-3.1724161356334717,0.7946883889033471,19.209229038231143,49,-3.1483606209418578,0.7982362994911435,46.08260500908696,96,-3.0201283768978935,0.5374706998237573,-39.4843632563246,62,-3.1108159414817633,0.5962209574179994,-5.4915481290107095,44,-3.2832761491139717,0.8198110114775227,-35.47341161888343,49,-3.258731357724204,0.638498230339319,-58.46953434021279,137,-3.1466952029904425,0.4433744183516081,nan,-1,nan,nan,nan,-1,nan,nan
2024-07-07T04:18:18,106.878,nan,-1,nan,nan,4.468981770634855,37,-3.142476387598756,0.7962307546930749,19.209229038231143,49,-3.14178143224453,0.8036145607561017,46.01575581512961,96,-3.0176583531786942,0.5454763276409187,-39.4843632563246,62,-3.115486448306174,0.5977139308436908,-5.4915481290107095,44,-3.254508397288033,0.8195548508502772,-35.47341161888343,49,-3.2586113075808427,0.6353444672435953,-58.46953434021279,137,-3.151033245395188,0.44201713419714395,nan,-1,nan,nan,-48.47557984358855,58,-3.1992075699541522,0.6289110406632946
2024-07-08T04:18:28,107.903,nan,-1,nan,nan,-2.5167589979085108,57,-3.145227812798348,0.7555525673008104,19.175804441252467,49,-3.1350330381322364,0.8090928075901815,57.48039257881561,108,-3.0988475394706105,0.4856191319448319,-39.4843632563246,62,-3.120504063790083,0.5993016026257023,-5.4915481290107095,44,-3.2258990548731656,0.8194782952488936,-35.47341161888343,49,-3.2584838021942315,0.6324415964262134,-58.46953434021279,137,-3.1556899697193175,0.44074195851422326,-25.47945712225919,15,-3.0680891960128127,0.7853074595608225,nan,-1,nan,nan
2024-07-09T04:18:37,108.927,-25.47945712225919,15,-3.0665607030055813,0.788917117224331,-1.514021088548219,57,-3.246322478966777,0.7102891540628807,11.521571733135573,61,-3.099001810974072,0.8058001916805567,45.91548202419358,96,-3.0178084534329637,0.5723068251392583,-39.4843632563246,62,-3.1258780481652777,0.6366829545235869,-6.494286038371001,44,-3.3266287695034675,0.8195813375445714,-35.47341161888343,49,-3.2583489056235804,0.6297906003824746,-58.46953434021279,137,-3.160673117198522,0.43954944801311596,nan,-1,nan,nan,nan,-1,nan,nan
2024-07-10T04:18:45,109.948,nan,-1,nan,nan,-1.514021088548219,57,-3.216618252704401,0.71127261307092,11.488147136156897,61,-3.0911838179900113,0.809383100761386,45.8820574272149,96,-3.016432305685003,0.5804857168981031,-38.48162534696431,62,-3.0936364092365585,0.6716069234704266,-6.494286038371001,44,-3.2997137180188867,0.8198639040804486,-35.47341161888343,49,-3.2582066824250338,0.62739228560313,-58.46953434021279,137,-3.165991286518821,0.4384400876285598,nan,-1,nan,nan,-40.48710116568489,40,inf,0.6867242080305499
2024-07-11T04:18:53,110.968,nan,-1,nan,nan,39.49795940428771,67,-3.1379856363116825,0.7144974296974259,11.488147136156897,61,-3.0831397775938987,0.8130261827540092,45.81520823325755,96,-3.0156258490114016,0.5887760927790608,-38.48162534696431,62,-3.1135708200992567,0.6739176435426708,-6.494286038371001,44,-3.273106104016972,0.8203258733539566,-35.47341161888343,49,-3.2580571983052473,0.6252473397361162,-58.46953434021279,137,-3.171653975347223,0.4374143125054581,-25.47945712225919,15,-3.063272082126044,0.8131435539736072,nan,-1,nan,nan
2024-07-12T04:19:01,111.985,-25.47945712225919,15,-3.055760267148131,0.817450470857616,39.2305626284583,67,-3.1318477421655793,0.7222658924067116,11.45472253917822,61,-3.0744620689615743,0.816728453373894,45.7483590393002,96,-3.0131426093256946,0.5967152618596827,-38.48162534696431,62,-3.121243368245682,0.6763432440463871,-6.494286038371001,44,-3.243312462491587,0.8209670733974688,-35.47341161888343,49,-3.2561588043697927,0.6233563917403266,-58.46953434021279,137,-3.176630136617112,0.43636106208104425,nan,-1,nan,nan,nan,-1,nan,nan
2024-07-13T04:19:08,113.001,nan,-1,nan,nan,38.49522149492742,67,-3.1051066989483145,0.7300891198997955,11.45472253917822,61,-3.0650168585718176,0.818878496903977,45.681509845342845,96,-3.0073768859454066,0.6044677285285198,-37.478887437604016,62,-3.0752140448371104,0.7088495983136432,-6.494286038371001,44,-3.208414637279612,0.8217872748762906,-34.93861806722461,49,-3.166044394493531,0.6217200014180808,-57.4667964308525,137,-3.1111234383276063,0.4353739021805735,nan,-1,nan,nan,-40.48710116568489,40,-3.338167283487677,0.7180544747844383
2024-07-14T04:19:15,114.014,nan,-1,nan,nan,38.29467391305536,67,-3.0894715763680116,0.7380900060719986,11.45472253917822,61,-3.0553758696681643,0.8208491932699528,45.61466065138549,96,-3.0023135105315997,0.6123148054206827,-37.478887437604016,62,-3.0738186353781387,0.7376124201780362,-6.494286038371001,44,-3.1747645632844375,0.8227862216938961,-34.93861806722461,49,-3.16745143765156,0.6203386048693832,-57.4667964308525,137,-3.1188605142482535,0.4344842749702123,-26.482195031619483,15,-3.045333110314116,0.8266801382364557,nan,-1,nan,nan
2024-07-15T04:19:21,115.025,-26.482195031619483,15,-3.0251357565093087,0.8316013764205342,37.9604279432686,67,-3.077829387770824,0.7462665740643135,11.421297942199544,61,-3.045702782418896,0.8228488937817733,57.48039257881561,108,-3.1167983175218823,0.5192887305503538,-37.478887437604016,62,-3.0723705013030065,0.74001691492482,-7.497023947731293,44,-3.3048699108700945,0.8239635961409312,-34.93861806722461,49,-3.168921293508302,0.6192125937183178,-57.4667964308525,137,-3.1270654664084616,0.43369254115818606,nan,-1,nan,nan,nan,-1,nan,nan
2024-07-16T04:19:27,116.034,nan,-1,nan,nan,37.59275737650316,67,-3.071393951868443,0.7544656591578361,11.421297942199544,61,-3.0358849319671966,0.8243772516546505,57.48039257881561,108,-3.117747899577145,0.48962565614621745,-37.478887437604016,62,-3.070870735445248,0.7425118033909126,-7.497023947731293,44,-3.275283525449135,0.8253190685249655,-34.93861806722461,49,-3.1704540200384694,0.6183422547597319,-57.4667964308525,137,-3.135759340132573,0.43299900304935857,nan,-1,nan,nan,-40.48710116568489,40,-3.375917555884346,0.7745838183076155
2024-07-17T04:19:32,117.041,nan,-1,nan,nan,37.158237615780365,67,-3.0717132709529196,0.7615767799259483,11.387873345220868,61,-3.0260458313713885,0.8101498707200899,57.48039257881561,108,-3.118735099152763,0.4929763987077847,-36.476149528243724,62,-3.063389573855121,0.7666096598458291,-7.497023947731293,44,-3.246585069456328,0.8268522467263513,-33.93588015786432,49,-2.9121137207012024,0.6177278262760636,-57.4667964308525,137,-3.144965243553272,0.43240394231674045,-17.490978444355534,6,-3.0604480546771518,0.8490996476546749,nan,-1,nan,nan
2024-07-18T04:19:36,118.046,-17.490978444355534,6,-3.065170438572768,0.8544950206099095,33.48153194812596,43,-3.1519110410572972,0.7724854024947974,11.387873345220868,61,-3.016119091176837,0.8102719694794808,57.48039257881561,108,-3.1197549731553122,0.49620921245959,-35.47341161888343,62,-3.061522367369098,0.7856066201251422,-7.497023947731293,44,-3.2187304207329253,0.828562723178234,-44.49805280312606,61,-3.203541661125431,0.6174432118014663,-57.4667964308525,137,-3.1547044721688664,0.4319075946359431,nan,-1,nan,nan,nan,-1,nan,nan
2024-07-19T04:19:40,119.048,nan,-1,nan,nan,35.98837672152669,67,-3.049843614813386,0.7762231479771211,11.354448748242191,61,-3.004927395701196,0.8103956519269799,57.446967981836934,108,-3.1163212880740065,0.4986972003402525,-35.47341161888343,62,-3.045644300594157,0.7989263963982368,-7.497023947731293,44,-3.184745795471968,0.8304500913676555,-44.49805280312606,61,-3.202755000123535,0.6173484914573184,-57.4667964308525,137,-3.160753864524468,0.4315101575776053,nan,-1,nan,nan,-31.49588457842094,32,-3.21925932474023,0.8187721624979672
2024-07-20T04:19:44,120.048,nan,-1,nan,nan,35.52043236382522,67,-3.0300338354431755,0.7837554005931375,18.941832262401732,49,-3.028164954033099,0.8032415460472794,57.38011878787958,108,-3.113279759657402,0.5012095526094716,-35.47341161888343,62,-3.0298371145909586,0.8024774856956957,-7.931543708454086,44,-3.2372102391852953,0.8235362707226359,-44.49805280312606,61,-3.2019442476897626,0.6174912569300546,-57.4667964308525,137,-3.1670896924466727,0.4312118049586164,-10.471813078833492,3,-3.054076823379899,0.8671300375664314,nan,-1,nan,nan
2024-07-21T04:19:46,121.045,-10.471813078833492,3,-3.057639774554669,0.87341020730222,32.47879403876567,43,-3.133290011804579,0.7989740398009418,9.482671317436314,37,-3.5840274855493957,0.7559019934045063,56.47765466945532,108,-3.0887203000316417,0.5398370542783656,-35.00546726118196,62,-3.018065224333833,0.8061450948321306,-7.931543708454086,44,-3.2070651865038853,0.8257826923539915,-44.49805280312606,61,-3.2011098417011454,0.6178715111064732,-57.4667964308525,137,-3.173720986728676,0.43101268611284616,nan,-1,nan,nan,nan,-1,nan,nan
2024-07-22T04:19:49,122.04,nan,-1,nan,nan,32.47879403876567,43,-3.1808377802858883,0.8069208269068524,9.482671317436314,37,-3.55912007653455,0.7686522000288981,56.47765466945532,108,-3.093138096943139,0.5417895711519198,-34.40382451556579,62,-3.0170061300299316,0.8126259395111435,-8.499761857091585,44,-3.303551683805536,0.837169044901815,-36.476149528243724,49,inf,0.6184980331263276,-56.49748311847088,137,-3.1168952800654934,0.4463806732657085,nan,-1,nan,nan,-31.49588457842094,32,-3.2556317445326153,0.8626954015470787
2024-07-23T04:19:50,123.033,nan,-1,nan,nan,31.47605612940538,43,-3.1413520377593667,0.827837927180772,16.46841208597968,29,-3.335473715415206,0.7815854582227114,56.47765466945532,108,-3.0977298657998302,0.5437592066154947,-33.73533257599226,62,-3.0303242566682074,0.815347976031486,-8.499761857091585,44,-3.2768062986079816,0.8397594431630716,-36.275601946371665,49,-3.03694378461692,0.6194206544811763,-56.49748311847088,137,-3.130523182086048,0.44638030786063726,-11.474550988193783,3,-3.1127234579098664,0.886581203388953,nan,-1,nan,nan
2024-07-24T04:19:51,124.023,-11.474550988193783,3,-3.088575822771461,0.8934706775998174,31.47605612940538,43,-3.1654972837219497,0.8363561843297744,16.46841208597968,29,-3.3143949319818846,0.7939745460295851,56.47765466945532,108,-3.0979745797084153,0.5456043332853142,-33.033416039440056,62,-3.007285616098834,0.8181500017593109,-8.499761857091585,44,-3.247222761860219,0.8425244821260043,-35.57368540981946,49,-3.1486897234786957,0.6205993604903813,-56.49748311847088,137,-3.1409755970796267,0.44649130079597343,nan,-1,nan,nan,nan,-1,nan,nan
2024-07-25T04:19:52,125.011,nan,-1,nan,nan,30.473318220045087,43,-3.0963959780900616,0.8435395760371913,9.482671317436314,37,-3.48266332408197,0.8037185466556248,44.41137516015314,68,-3.186407532578308,0.5542720780099977,-30.49314666906065,38,-3.097862644036748,0.8420228415229701,-9.4690751694732,44,-3.478515007501813,0.8361957315664367,-35.13916564909667,49,-3.158072572367386,0.6220340417994479,-56.49748311847088,137,-3.1507746694809846,0.44671370954681755,nan,-1,nan,nan,-31.49588457842094,32,inf,0.8870910971519763
2024-07-26T04:19:52,125.997,nan,-1,nan,nan,30.473318220045087,43,-3.128989545086582,0.8503036843189353,9.482671317436314,37,-3.4574713929384817,0.8151101111370701,44.34452596619579,68,-3.1808308187280447,0.5688602323212648,-30.49314666906065,38,-3.13004609896622,0.8465097455992677,-9.4690751694732,44,-3.4532791088953583,0.8386363554303625,-35.072316455139315,49,-3.1470231362740275,0.6237245204616946,-56.49748311847088,137,-3.161058627467183,0.44704755539729013,-12.477288897554075,3,-3.0717821816064665,0.905204114426361,nan,-1,nan,nan
2024-07-27T04:19:51,126.98,-12.477288897554075,3,-3.041295326594485,0.9112870509656591,29.470580310684795,43,-3.102756506137023,0.8631010291351968,16.46841208597968,29,-3.252840498363243,0.825407174865122,44.277676772238436,68,-3.1765425248199506,0.5834804518037293,-29.490408759700358,38,-3.10384165564207,0.8651356558040176,-9.4690751694732,44,-3.4288600691813294,0.8412126970174564,-35.03889185816064,49,-3.137230926636202,0.6256705680379958,-56.49748311847088,137,-3.171853866006764,0.44749282277801244,nan,-1,nan,nan,nan,-1,nan,nan
2024-07-28T04:19:50,127.96,nan,-1,nan,nan,29.470580310684795,43,-3.1487862682480143,0.8702896817307727,9.482671317436314,37,-3.40887495674411,0.8353640694744544,44.210827578281084,68,-3.1721515552835315,0.5922769487526898,-29.490408759700358,38,-3.149385426978376,0.868417347028751,-9.4690751694732,44,-3.4046028603942617,0.8439243252151246,-34.972042664203286,49,-3.1278396135792,0.627871905082604,-56.49748311847088,137,-3.1822357921272753,0.44804945957481934,nan,-1,nan,nan,-31.49588457842094,32,inf,0.8888442377265544
2024-07-29T04:19:48,128.938,nan,-1,nan,nan,29.470580310684795,43,-3.125865361065324,0.8753177833594225,9.482671317436314,37,-3.383152148193065,0.8452817913547361,44.14397838432373,68,-3.1636525765217454,0.6064182291873027,-28.487670850340066,38,-3.0867761926593498,0.8782414735871265,-9.4690751694732,44,-3.378833396497865,0.8467707007236991,-34.87176887326726,49,-3.1165877143090968,0.6303281129590689,-56.49748311847088,137,-3.1892315117308856,0.4487173529397359,-14.482764716274659,3,-3.0496841150990015,0.9239379170071791,nan,-1,nan,nan
2024-07-30T04:19:46,129.914,-6.494286038371001,7,-3.057813678561664,0.9256910710810021,29.43715571370612,43,-3.1036377419282126,0.8803037256087681,9.482671317436314,37,-3.3583496294952706,0.8533531189306961,34.81851582727302,56,-3.1077114388409557,0.6206359830674507,-28.487670850340066,38,-3.0892332447751993,0.8818331212841387,-9.4690751694732,44,-3.353988438605102,0.85859025364761,-34.804919679309904,49,-3.1070458783631625,0.6330387258300522,-55.49474520911059,137,-3.1345426846349227,0.4617310679706485,nan,-1,nan,nan,nan,-1,nan,nan
2024-07-31T04:19:43,130.887,nan,-1,nan,nan,28.60154078923921,43,-3.092308403472663,0.8853583530572791,9.482671317436314,37,-3.334404474058055,0.8614965448109237,34.751666633315665,56,-3.0997768645127826,0.6353826129673235,-28.587944641276096,38,-3.0918543026486276,0.8855083716069913,-9.4690751694732,44,-3.3300045511093312,0.8616822878490888,-34.73807048535255,49,-3.099134368356105,0.6360031105517862,-55.49474520911059,137,-3.150268480129599,0.462709456129675,nan,-1,nan,nan,-23.473981303538608,27,-3.2796099767930444,0.9010097343465738
2024-08-01T04:19:39,131.858,nan,-1,nan,nan,27.531953685921565,43,-3.1008333315434533,0.8895000926328352,9.482671317436314,37,-3.311103118249065,0.8693371165266989,43.94343080245167,68,-3.1462449373101045,0.6478442556784898,-23.473981303538608,21,-3.1262045605042945,0.8967480803282966,-9.4690751694732,44,inf,0.8649062798467894,-43.92983465448856,61,-3.1462584813844225,0.6376963272700474,-55.49474520911059,137,-3.166566125256376,0.4638094485060594,-8.499761857091585,7,-3.1016415136016264,0.9308097875753292,nan,-1,nan,nan
2024-08-02T04:19:35,132.826,-9.4690751694732,7,-3.1218075732106003,0.9230703177159598,26.529215776561273,43,-3.036727128975399,0.8919864404281456,17.47114999533997,29,-3.43880965114077,0.8669370652948544,43.84315701151564,68,-3.1358554923457294,0.6611681296979874,-23.473981303538608,21,-3.1505174706203154,0.9000128029861552,-10.471813078833492,44,inf,0.8594918272048068,-43.82956086355253,61,-3.1358088805679656,0.6409122957623218,-55.49474520911059,137,-3.1781205678024267,0.4650306921169762,nan,-1,nan,nan,nan,-1,nan,nan
2024-08-03T04:19:30,133.792,nan,-1,nan,nan,22.48483954214143,24,-3.110096640763278,0.9066478942815981,10.485409226796605,37,-3.590874022408284,0.8537746392378973,34.61796824540096,56,-3.0747897210174893,0.675274636473093,-22.471243394178316,21,-3.1086729985755053,0.9097886006426273,-10.471813078833492,44,-3.5866139494375306,0.8619708790625712,-43.76271166959518,61,-3.127536499213444,0.644361182253661,-55.49474520911059,137,-3.1902188343308406,0.45368384833464287,nan,-1,nan,nan,-23.473981303538608,27,inf,0.8911988092075198
